Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Karne;Żółte;Czerwone;Status;Wejście;Zejście
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(10) Wojciech Szumilas;46;0;0;0;0;Zszedł;0;46
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(14) Marcin Urynowicz;44;0;0;0;0;Wszedł;46;0
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(6) Mateusz Kizyma;90;1;0;1;0;Cały mecz;0;0
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(8) Dalibor Takáč;46;0;0;0;0;Zszedł;0;46
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(7) Maksymilian Sitek;44;0;0;0;0;Wszedł;46;0
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(84) Bartosz Martosz;90;0;0;0;0;Cały mecz;0;0
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(9) Maciej Górski;89;1;0;1;0;Zszedł;0;89
2025/2026;4 października 2025 16:00;Podbeskidzie Bielsko-Biała;Warta Poznań;2 - 3;Gospodarz;Warta Poznań;(98) Wojciech Słomka;1;0;0;1;0;Wszedł;89;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(99) Szymon Brańczyk;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(33) Bartosz Bieroński;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(17) Jan Majsterek;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(22) Kacper Gach;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(3) Daniel Dziwniel;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(98) Wojciech Słomka;61;0;0;1;0;Zszedł;0;61
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(10) Wojciech Szumilas;29;0;0;1;0;Wszedł;61;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(24) Michał Bednarski;61;0;0;0;0;Zszedł;0;61
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(21) Krzysztof Kolanko;29;0;0;0;0;Wszedł;61;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(14) Marcin Urynowicz;90;0;0;0;0;Cały mecz;0;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(8) Dalibor Takáč;76;0;0;0;0;Zszedł;0;76
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(20) Kacper Piątek;14;0;0;0;0;Wszedł;76;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(7) Maksymilian Sitek;46;0;0;0;0;Zszedł;0;46
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(11) Oskar Zawada;44;0;0;0;0;Wszedł;46;0
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(9) Maciej Górski;81;0;0;0;0;Zszedł;0;81
2025/2026;22 października 2025 20:00;Zagłębie Sosnowiec;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Zagłębie Sosnowiec;(84) Bartosz Martosz;9;0;0;0;0;Wszedł;81;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(99) Szymon Brańczyk;90;0;0;0;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(33) Bartosz Bieroński;90;0;0;0;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(4) Marcin Biernat;90;1;1;1;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(17) Jan Majsterek;90;0;0;0;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(22) Kacper Gach;90;0;0;0;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(98) Wojciech Słomka;62;0;0;0;0;Zszedł;0;62
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(21) Krzysztof Kolanko;28;0;0;0;0;Wszedł;62;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(14) Marcin Urynowicz;90;0;0;0;0;Cały mecz;0;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(6) Mateusz Kizyma;62;0;0;1;0;Zszedł;0;62
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(10) Wojciech Szumilas;28;0;0;1;0;Wszedł;62;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(8) Dalibor Takáč;86;0;0;0;0;Zszedł;0;86
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(20) Kacper Piątek;4;0;0;0;0;Wszedł;86;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(7) Maksymilian Sitek;69;0;0;0;0;Zszedł;0;69
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(84) Bartosz Martosz;21;0;0;0;0;Wszedł;69;0
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(9) Maciej Górski;62;0;0;0;0;Zszedł;0;62
2025/2026;19 października 2025 16:00;Podbeskidzie Bielsko-Biała;Świt Szczecin;1 - 0;Gospodarz;Świt Szczecin;(90) Lucjan Klisiewicz;28;0;0;0;0;Wszedł;62;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(99) Szymon Brańczyk;90;0;0;0;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(33) Bartosz Bieroński;58;0;0;1;0;Zszedł;0;58
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(13) Dawid Ściuk;32;0;0;1;0;Wszedł;58;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(4) Marcin Biernat;90;0;0;0;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(17) Jan Majsterek;90;0;0;0;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(22) Kacper Gach;90;1;0;0;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(7) Maksymilian Sitek;77;0;0;1;0;Zszedł;0;77
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(98) Wojciech Słomka;13;0;0;1;0;Wszedł;77;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(14) Marcin Urynowicz;83;0;0;1;0;Zszedł;0;83
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(8) Dalibor Takáč;7;0;0;1;0;Wszedł;83;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(6) Mateusz Kizyma;90;0;0;1;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(10) Wojciech Szumilas;90;0;0;0;0;Cały mecz;0;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(11) Oskar Zawada;58;0;0;0;0;Zszedł;0;58
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(84) Bartosz Martosz;32;0;0;0;0;Wszedł;58;0
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(9) Maciej Górski;58;0;0;0;0;Zszedł;0;58
2025/2026;25 października 2025 14:00;GKS Jastrzębie (Jastrzębie Zdrój);Podbeskidzie Bielsko-Biała;2 - 2;Gość;GKS Jastrzębie (Jastrzębie Zdrój);(90) Lucjan Klisiewicz;32;1;0;0;0;Wszedł;58;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(1) Konrad Forenc;90;0;0;0;0;Cały mecz;0;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(33) Bartosz Bieroński;46;0;0;0;0;Zszedł;0;46
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(3) Daniel Dziwniel;44;0;0;0;0;Wszedł;46;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(4) Marcin Biernat;27;0;0;1;0;Zszedł;0;27
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(13) Dawid Ściuk;63;0;0;1;0;Wszedł;27;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(17) Jan Majsterek;90;0;0;0;0;Cały mecz;0;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(22) Kacper Gach;90;0;0;1;0;Cały mecz;0;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(7) Maksymilian Sitek;69;0;0;0;0;Zszedł;0;69
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(21) Krzysztof Kolanko;21;0;0;0;0;Wszedł;69;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(14) Marcin Urynowicz;90;0;0;0;0;Cały mecz;0;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(6) Mateusz Kizyma;46;0;0;0;0;Zszedł;0;46
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(8) Dalibor Takáč;44;0;0;0;0;Wszedł;46;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(10) Wojciech Szumilas;46;0;0;1;0;Zszedł;0;46
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(20) Kacper Piątek;44;0;0;1;0;Wszedł;46;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(84) Bartosz Martosz;90;1;0;0;0;Cały mecz;0;0
2025/2026;31 października 2025 13:00;Sokół Kleczew;Podbeskidzie Bielsko-Biała;5 - 2;Gość;Sokół Kleczew;(90) Lucjan Klisiewicz;90;1;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(1) Konrad Forenc;90;0;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(21) Krzysztof Kolanko;62;0;0;0;0;Zszedł;0;62
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(7) Maksymilian Sitek;28;0;0;0;0;Wszedł;62;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(13) Dawid Ściuk;90;0;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(4) Marcin Biernat;90;1;1;1;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(17) Jan Majsterek;90;0;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(22) Kacper Gach;90;0;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(14) Marcin Urynowicz;77;0;0;1;0;Zszedł;0;77
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(10) Wojciech Szumilas;13;0;0;1;0;Wszedł;77;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(6) Mateusz Kizyma;90;0;0;0;0;Zszedł;0;90
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(11) Oskar Zawada;0;0;0;0;0;Wszedł;90;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(8) Dalibor Takáč;62;0;0;1;0;Zszedł;0;62
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(20) Kacper Piątek;28;0;0;1;0;Wszedł;62;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(84) Bartosz Martosz;90;0;0;0;0;Cały mecz;0;0
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(90) Lucjan Klisiewicz;90;2;0;0;0;Zszedł;0;90
2025/2026;9 listopada 2025 15:00;Podbeskidzie Bielsko-Biała;Resovia;3 - 0;Gospodarz;Resovia;(28) Kornel Osyra;0;0;0;0;0;Wszedł;90;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(1) Konrad Forenc;90;0;0;0;0;Cały mecz;0;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(21) Krzysztof Kolanko;82;0;0;0;0;Zszedł;0;82
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(3) Daniel Dziwniel;8;0;0;0;0;Wszedł;82;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(13) Dawid Ściuk;90;0;0;0;0;Cały mecz;0;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(4) Marcin Biernat;90;0;0;1;0;Cały mecz;0;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(17) Jan Majsterek;58;0;0;1;0;Zszedł;0;58
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(28) Kornel Osyra;32;0;0;1;0;Wszedł;58;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(22) Kacper Gach;58;0;0;1;0;Zszedł;0;58
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(84) Bartosz Martosz;32;0;0;1;0;Wszedł;58;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(10) Wojciech Szumilas;90;0;0;0;0;Cały mecz;0;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(6) Mateusz Kizyma;90;0;0;0;0;Cały mecz;0;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(9) Maciej Górski;58;0;0;0;0;Zszedł;0;58
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(7) Maksymilian Sitek;32;0;0;0;0;Wszedł;58;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(8) Dalibor Takáč;46;0;0;1;0;Zszedł;0;46
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(98) Wojciech Słomka;44;0;0;1;0;Wszedł;46;0
2025/2026;16 listopada 2025 12:00;Podhale Nowy Targ;Podbeskidzie Bielsko-Biała;2 - 0;Gość;Podhale Nowy Targ;(90) Lucjan Klisiewicz;90;0;0;1;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(1) Konrad Forenc;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(21) Krzysztof Kolanko;77;0;0;0;0;Zszedł;0;77
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(98) Wojciech Słomka;13;0;0;0;0;Wszedł;77;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(13) Dawid Ściuk;90;0;0;1;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(4) Marcin Biernat;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(22) Kacper Gach;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(7) Maksymilian Sitek;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(20) Kacper Piątek;65;0;0;0;0;Zszedł;0;65
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(24) Michał Bednarski;25;0;0;0;0;Wszedł;65;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(6) Mateusz Kizyma;77;0;0;0;0;Zszedł;0;77
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(77) Bartosz Florek;13;0;0;0;0;Wszedł;77;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(14) Marcin Urynowicz;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(9) Maciej Górski;90;0;0;0;0;Cały mecz;0;0
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(84) Bartosz Martosz;89;0;0;1;0;Zszedł;0;89
2025/2026;23 listopada 2025 15:00;Sandecja Nowy Sącz;Podbeskidzie Bielsko-Biała;0 - 0;Gość;Sandecja Nowy Sącz;(33) Bartosz Bieroński;1;0;0;1;0;Wszedł;89;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(1) Konrad Forenc;90;0;0;0;0;Cały mecz;0;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(21) Krzysztof Kolanko;90;1;0;1;0;Cały mecz;0;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(13) Dawid Ściuk;46;0;0;0;0;Zszedł;0;46
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(24) Michał Bednarski;44;0;0;0;0;Wszedł;46;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(4) Marcin Biernat;44;1;1;1;0;Zszedł;0;44
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(28) Kornel Osyra;46;0;0;1;0;Wszedł;44;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(22) Kacper Gach;90;0;0;1;0;Cały mecz;0;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(7) Maksymilian Sitek;90;0;0;0;0;Cały mecz;0;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(14) Marcin Urynowicz;79;1;0;0;0;Zszedł;0;79
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(20) Kacper Piątek;11;0;0;0;0;Wszedł;79;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(6) Mateusz Kizyma;90;0;0;0;0;Cały mecz;0;0
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(8) Dalibor Takáč;54;0;0;0;0;Zszedł;0;54
2025/2026;30 listopada 2025 19:30;Podbeskidzie Bielsko-Biała;Stal Stalowa Wola;3 - 1;Gospodarz;Stal Stalowa Wola;(98) Wojciech Słomka;36;0;0;0;0;Wszedł;54;0
