kolejka,sezon,data meczu,miejsce rozgrywania,tsp,rywal,wynik,strzelcy,rozgrywki,frekwencja
04,2002/03,24.08.2002,Radzionków,Podbeskidzie Bielsko-Biała,Ruch Radzionków,0-0,,I liga,800
05,2002/03,30.08.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Hetman Zamość,3-2,"Adrian Sikora 1, 69, Andrzej Szłapa 56",I liga,5 000
06,2002/03,08.09.2002,Piotrków Trybunalski,Podbeskidzie Bielsko-Biała,Piotrcovia Piotrków Trybunalski,2-1,"Adrian Sikora 29, 85",I liga,1 000
07,2002/03,15.09.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,1-1,Marcin Żukowski 83,I liga,8 000
08,2002/03,21.09.2002,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-1,,I liga,3 000
09,2002/03,29.09.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Aluminium Konin,2-0,"Andrzej Szłapa 22, Piotr Czak 43",I liga,5 500
10,2002/03,05.10.2002,Radomsko,Podbeskidzie Bielsko-Biała,RKS Radomsko,2-2,"Grzegorz Więzik 3, Piotr Czak 61",I liga,1 000
11,2002/03,13.10.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-2,"Grzegorz Więzik 2, Marcin Żukowski 90",I liga,4 000
12,2002/03,20.10.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,2-1,"Andrzej Szłapa 3, Jarosław Bujok 59",I liga,5 000
13,2002/03,26.10.2002,Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,1-2,Marcin Żukowski,I liga,1 000
14,2002/03,03.11.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,1-1,Jarosław Bujok 45,I liga,6 000
15,2002/03,09.11.2002,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,0-2,,I liga,400
16,2002/03,17.11.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,2-1,"Marcin Żukowski 12, 38",I liga,7 000
17,2002/03,23.11.2002,Wrocław,Podbeskidzie Bielsko-Biała,Polar Wrocław,1-2,Adrian Sikora 81,I liga,150
18,2002/03,16.03.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,0-1,,I liga,4 000
19,2002/03,22.03.2003,Opoczno,Podbeskidzie Bielsko-Biała,Ceramika Opoczno,0-1,,I liga,500
20,2002/03,30.03.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Radzionków,3-0,"Piotr Czak 89, Piotr Cetnarowicz 90, Damian Zdolski 90",I liga,3 500
21,2002/03,05.04.2003,Zamość,Podbeskidzie Bielsko-Biała,Hetman Zamość,1-0,Marcin Klaczka 67,I liga,1 000
22,2002/03,09.04.2003,Gorzyce,Podbeskidzie Bielsko-Biała,Tłoki Gorzyce,4-1,"Damian Zdolski 1, 65, 86, Jarosław Bujok 34",I liga,400
23,2002/03,13.04.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piotrcovia Piotrków Trybunalski,1-2,Jarosław Bujok 57,I liga,5 500
24,2002/03,19.04.2003,Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-0,,I liga,3 000
25,2002/03,27.04.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-0,,I liga,4 000
26,2002/03,30.04.2003,Konin,Podbeskidzie Bielsko-Biała,Aluminium Konin,0-2,,I liga,1 500
27,2002/03,04.05.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,RKS Radomsko,1-0,Piotr Czak 15,I liga,4 000
28,2002/03,10.05.2003,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-2,Piotr Cetnarowicz 82,I liga,2 000
29,2002/03,17.05.2003,Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,0-0,,I liga,500
30,2002/03,21.05.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,2-0,"Bartosz Woźniak 26, Jaromir Wieprzęć 69 (s)",I liga,2 500
31,2002/03,24.05.2003,Nowy Dwór Mazowiecki,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,0-1,,I liga,1 000
32,2002/03,31.05.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-2,Robert Piekarski 58,I liga,3 500
33,2002/03,04.06.2003,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-0,,I liga,3 500
34,2002/03,07.06.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polar Wrocław,1-1,Grzegorz Bogdan 60,I liga,4 000
I runda,2003/04,29.07.2003,Częstochowa,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-1 pd. k. 4-2,Piotr Czak 14,Puchar Polski,2 500
01,2003/04,09.08.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Tłoki Gorzyce,1-1,Paweł Jermakowicz 54,I liga,5 500
02,2003/04,13.08.2003,Jaworzno,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,2-5,"Paweł Stalmach 69, Abel Salami 74",I liga,1 500
03,2003/04,16.08.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polar Wrocław,2-1,"Jarosław Bujok 43, Abel Salami 71",I liga,3 500
04,2003/04,23.08.2003,Opoczno,Podbeskidzie Bielsko-Biała,Stasiak Opoczno,2-1,"Mieczysław Agaon 55, Jarosław Bujok 65",I liga,300
05,2003/04,30.08.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,2-1,"Robert Piekarski 31, Bartosz Woźniak 78",I liga,6 000
06,2003/04,03.09.2003,Radomsko,Podbeskidzie Bielsko-Biała,RKS Radomsko,1-2,Paweł Jermakowicz 28,I liga,1 200
07,2003/04,07.09.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,2-2,"Jarosław Bujok 18, 90",I liga,5 500
08,2003/04,13.09.2003,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-3,Damian Zdolski 54,I liga,4 000
09,2003/04,20.09.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Błękitni Stargard Szczeciński,anulowany było 0-0,,I liga,3 500
10,2003/04,27.09.2003,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-2,,I liga,2 500
11,2003/04,04.10.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,0-3,,I liga,4 000
12,2003/04,12.10.2003,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,anulowany było 0-1,,I liga,1 500
13,2003/04,18.10.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,4-2,"Mieczysław Agafon 24, Jarosław  Bujok 81, Andrzej Szłapa 84, Marcin Klaczka 89",I liga,2 500
14,2003/04,25.10.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,2-1,"Robert Piekarski 47, Mieczysław Sikora 72",I liga,2 500
15,2003/04,08.11.2003,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-1,,I liga,11 000
16,2003/04,15.11.2003,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Aluminium Konin,2-0,"Marcin Klaczka 79, Jarosław Bujok 81",I liga,3 000
17,2003/04,22.11.2003,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-1,,I liga,4 500
18,2003/04,13.03.2004,Gorzyce,Podbeskidzie Bielsko-Biała,Tłoki Gorzyce,1-0,Andriej Szyło 16,I liga,900
19,2003/04,20.03.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,2-0,"Piotr Czak 23, Łukasz Błasiak 38",I liga,5 000
20,2003/04,27.03.2004,Wrocław,Podbeskidzie Bielsko-Biała,Polar Wrocław,2-0,"Łukasz Błasiak 37, Bartosz Woźniak 86",I liga,600
21,2003/04,03.04.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stasiak Opoczno,1-1,Mieczysław Agafon 47,I liga,4 500
22,2003/04,10.04.2004,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,2-2,"Jarosław Bujok 62, 87",I liga,4 500
23,2003/04,17.04.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,RKS Radomsko,0-1,,I liga,4 000
24,2003/04,24.04.2004,Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-2,,I liga,3 500
25,2003/04,29.04.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-0,"Łukasz Błasiak 3, 24",I liga,3 000
27,2003/04,08.05.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-3,,I liga,3 500
28,2003/04,12.05.2004,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,2-3,"Wojciech Rączka 15, Mieczysław Agafon 27",I liga,4 000
30,2003/04,21.05.2004,Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,0-2,,I liga,2 500
31,2003/04,29.05.2004,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,0-3,,I liga,2 000
32,2003/04,02.06.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,1-2,Piotr Czak 84,I liga,2 500
33,2003/04,06.06.2004,Konin,Podbeskidzie Bielsko-Biała,Aluminium Konin,1-0,Bartosz Woźniak 79,I liga,700
34,2003/04,11.06.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,2-0,"Mieczysłąw Agafon 81, 86",I liga,2 000
01,2004/05,31.07.2004,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-0,,I liga,6 000
I runda,2004/05,03.08.2004,Żary,Podbeskidzie Bielsko-Biała,Promień Żary,4-0,"Błażej Radler 41, Artur Rozmus 53, Wojciech Rączka 54, Jarosław Bujok 90",Puchar Polski,500
02,2004/05,07.08.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Kujawiak Włocławek,2-1,"Artur Rozmus 35, Damian Zdolski 71",I liga,4 500
03,2004/05,13.08.2004,Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-2,,I liga,2 000
04,2004/05,21.08.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,0-2,,I liga,4 500
05,2004/05,25.08.2004,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-3,Artur Rozmus 5,I liga,3 000
06,2004/05,28.08.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,0-0,,I liga,3 000
07,2004/05,05.09.2004,Radom,Podbeskidzie Bielsko-Biała,Radomiak Radom,1-0,Daniel Dubicki 12,I liga,2 000
08,2004/05,11.09.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-0,,I liga,4 500
09,2004/05,18.09.2004,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-1,Artur Rozmus 26,I liga,2 000
01,2004/05,21.09.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,3-2,"Artur Prokop 51, Daniel Dubicki 55, Piotr Koman 74",Puchar Polski,1 800
10,2004/05,25.09.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-2,,I liga,4 500
11,2004/05,02.10.2004,Nowy Dwór Mazowiecki,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,1-1,Jarosław Bujok 61,I liga,800
02,2004/05,05.10.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Skalnik Gracze,4-1,"Bogdan Prusek 22, 83, Piotr Koman 60, Łukasz  Błasiak 75",Puchar Polski,1 000
12,2004/05,09.10.2004,Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,1-0,Artur Prokop 64,I liga,1 000
13,2004/05,16.10.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,2-1,"Jaromir Wieprzęć 24 (s), Adam Kompała 90",I liga,2 500
14,2004/05,23.10.2004,Radomsko,Podbeskidzie Bielsko-Biała,RKS Radomsko,0-3,,I liga,1 500
03,2004/05,26.10.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-1,Piotr Koman 24,Puchar Polski,1 500
15,2004/05,30.10.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-0,Jarosław Bujok 28,I liga,3 000
16,2004/05,07.11.2004,Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,3-1,"Grzegorz Pater 6, Łukasz Błasiak 72, 79",I liga,3 000
04,2004/05,10.11.2004,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,1-3,Artur Rozmus 73,Puchar Polski,1 700
17,2004/05,14.11.2004,Bielsko-Biała,Podbeskidzie Bielsko-Biała,MKS Mława,2-0,"Bogdan Prusek 76, Błażej Radler 82",I liga,3 000
05,2004/05,28.11.2004,Gracze,Podbeskidzie Bielsko-Biała,Skalnik Gracze,3-0,"Daniel Dubicki 13, Adam Kompała 60, Łukasz Błasiak 81",Puchar Polski,500
06,2004/05,04.12.2004,Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,2-1,"Artur Rozmus 76, 84",Puchar Polski,4 000
19,2004/05,20.03.2005,Włocławek,Podbeskidzie Bielsko-Biała,Kujawiak Włocławek,1-3,Grzegorz Pater 27,I liga,3 500
1/8 finału,2004/05,23.03.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,1-1,Grzegorz Pater 80,Puchar Polski,3 000
20,2004/05,31.03.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,1-0,Jarosław Bujok 27,I liga,3 000
22,2004/05,10.04.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,4-0,"Rafał Andraszak 13, Tomasz Księżyc 45, 82, Adam Kompała 75",I liga,4 500
1/8 finału,2004/05,13.04.2005,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-1,,Puchar Polski,5 000
23,2004/05,16.04.2005,Jaworzno,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,2-1,"Jarosław Bujok 44, Adam Kompała 62",I liga,2 500
24,2004/05,20.04.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Radomiak Radom,1-0,Artur Rozmus 81,I liga,3 500
25,2004/05,23.04.2005,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-0,,I liga,2 500
21,2004/05,27.04.2005,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-2,Łukasz Błasiak 39,I liga,3 000
26,2004/05,30.04.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,0-0,,I liga,4 000
18,2004/05,04.05.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,3-0,"Grzegorz Pater 23, Błażej Radler 41, François Endene 72",I liga,2 000
27,2004/05,07.05.2005,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-3,,I liga,4 000
28,2004/05,11.05.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,2-1,"Jarosław Bujok 2, 41",I liga,2 000
29,2004/05,22.05.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,2-1,"Artur Prokop 57, 73",I liga,4 000
30,2004/05,28.05.2005,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,1-2,Grzegorz Pater 18,I liga,3 000
31,2004/05,01.06.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,RKS Radomsko,3-0,"Mariusz Sacha 1, Adam Kompała 40, François Endene 85",I liga,2 000
32,2004/05,04.06.2005,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-2,,I liga,1 500
33,2004/05,08.06.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-1,"Grzegorz Pater 63, Rafał Andraszak 66",I liga,3 000
34,2004/05,11.06.2005,Mława,Podbeskidzie Bielsko-Biała,MKS Mława,1-0,François Endene 13,I liga,500
01,2005/06,30.07.2005,Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,1-2,Piotr Gierczak 45,I liga,4 000
02,2005/06,07.08.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-1,Grzegorz Podstawek 73,I liga,4 000
I runda,2005/06,09.08.2005,Świnoujście,Podbeskidzie Bielsko-Biała,Flota Świnoujście,3-1 pd.,"Marcin Makuch 86, Tomasz Górkiewicz 101, Piotr Koman 114",Puchar Polski,1 000
03,2005/06,13.08.2005,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,2-3,"Piotr Koman 3, Marcin Makuch 63",I liga,6 000
04,2005/06,20.08.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Heko Czermno,1-1,Grzegorz Pater 17,I liga,2 500
05,2005/06,27.08.2005,Nowe Miasto Lubawskie,Podbeskidzie Bielsko-Biała,Drwęca Nowe Miasto Lubawskie,1-1,Grzegorz Pater 88,I liga,1 700
06,2005/06,04.09.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Radomiak Radom,1-1,Wojciech Rączka 40,I liga,1 500
07,2005/06,11.09.2005,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-3,"Grzegorz Pater 39, Paweł Sobczak 77",I liga,1 500
08,2005/06,17.09.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Bytom,2-3,"Błażej Jankowski 68, Dariusz Kołodziej 80",I liga,1 500
II runda,2005/06,20.09.2005,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-0,Dariusz Kołodziej 5,Puchar Polski,1 000
09,2005/06,23.09.2005,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-3,,I liga,4 000
10,2005/06,01.10.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,1-1,Grzegorz Pater 20,I liga,1 200
11,2005/06,06.10.2005,Nowy Dwór Mazowiecki,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,1-1,Grzegorz Pater 50,I liga,500
12,2005/06,15.10.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,2-0,"Piotr Koman 66, Grzegorz Podstawek 90",I liga,1 500
13,2005/06,21.10.2005,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,0-1,,I liga,3 000
II runda,2005/06,25.10.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-0,Bartłomiej Socha 75,Puchar Polski,600
14,2005/06,29.10.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,1-0,Grzegorz Pater 78,I liga,1 500
15,2005/06,05.11.2005,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-3,Marcin Makuch 49,I liga,4 500
1/8 finału,2005/06,08.11.2005,Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,0-3,,Puchar Polski,1 600
16,2005/06,11.11.2005,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,3-2,"Paweł Sobczak 52, Marcin Makuch 85, Grzegorz Pater 87",I liga,3 500
17,2005/06,19.11.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,1-1,Paweł Sobczak 40,I liga,1 200
1/8 finału,2005/06,23.11.2005,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,0-0,,Puchar Polski,200
20,2005/06,25.03.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-0,,I liga,2 500
21,2005/06,01.04.2006,Czermno,Podbeskidzie Bielsko-Biała,Heko Czermno,1-2,Jewgienij Branowickij 90 (s),I liga,700
22,2005/06,08.04.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Drwęca Nowe Miasto Lubawskie,3-0,"Grzegorz Pater 43, Grzegorz Podstawek 44, 72",I liga,1 800
19,2005/06,12.04.2006,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-1,,I liga,5 000
23,2005/06,15.04.2006,Radom,Podbeskidzie Bielsko-Biała,Radomiak Radom,2-1,"Grzegorz Pater 34, Stanley Udenkwor 64",I liga,4 000
18,2005/06,19.04.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,I liga,2 000
24,2005/06,22.04.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-1,Grzegorz Pater 44,I liga,2 500
25,2005/06,29.04.2006,Bytom,Podbeskidzie Bielsko-Biała,Polonia Bytom,0-0,,I liga,1 200
26,2005/06,05.05.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,1-0,Grzegorz Podstawek 35,I liga,2 500
27,2005/06,10.05.2006,Jaworzno,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,1-1,Nikołaj Branfiłow 45,I liga,1 500
28,2005/06,13.05.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Świt Nowy Dwór Mazowiecki,2-0,"Mariusz Sacha 51, Paweł Sobczak 65",I liga,2 000
29,2005/06,17.05.2006,Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,1-0,Nikołaj Branfiłow 7,I liga,500
30,2005/06,20.05.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,1-0,Krzysztof Chrapek 83,I liga,3 000
31,2005/06,24.05.2006,Bydgoszcz,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,0-1,,I liga,4 500
32,2005/06,31.05.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,0-1,,I liga,1 500
33,2005/06,03.06.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-1,Tomasz Jodłowiec 64,I liga,2 500
34,2005/06,10.06.2006,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,2-2,"Grzegorz Podstawek 79, 82",I liga,9 000
baraż,2005/06,15.06.2006,Łowicz,Podbeskidzie Bielsko-Biała,Pelikan Łowicz,1-1,Grzegorz Podstawek 59,I liga,1 750
baraż,2005/06,18.06.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pelikan Łowicz,5-2,"Krzysztof Chrapek 20, 42, 84, Dariusz Kołodziej 78, Mariusz Masternak 90",I liga,2 200
01,2006/07,30.07.2006,Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,1-3,Dariusz Kołodziej 22,I liga,1 500
02,2006/07,05.08.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Unia Janikowo,1-0,Krzysztof Butryn 88,I liga,3 000
03,2006/07,12.08.2006,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-3,Paweł Odrzywolski 26,I liga,5 000
04,2006/07,19.08.2006,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,0-2,,I liga,4 000
I runda,2006/07,22.08.2006,Wałbrzych,Podbeskidzie Bielsko-Biała,Górnik /Zagłębie Wałbrzych,2-1,"Krzysztof Chrapek 61, Dariusz Kołodziej 67",Puchar Polski,
05,2006/07,26.08.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,0-1,,I liga,1 500
06,2006/07,30.08.2006,Warszawa,Podbeskidzie Bielsko-Biała,Polonia Warszawa,0-2,,I liga,800
07,2006/07,03.09.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,0-0,,I liga,2 000
08,2006/07,09.09.2006,Bytom,Podbeskidzie Bielsko-Biała,Polonia Bytom,0-1,,I liga,1 500
09,2006/07,16.09.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,2-1,"Marcin Józefowicz 25, Krzysztof Chrapek 81",I liga,1 000
1/16 finału,2006/07,19.09.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,1-2,Marcin Wasilewski 79 (s),Puchar Polski,2 500
10,2006/07,23.09.2006,Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-5,"Marcin Józefowicz 46, Krzysztof Chrapek 77",I liga,3 500
11,2006/07,30.09.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,2-0,"Dariusz Kołodziej 16, Marcin Józefowicz 44",I liga,1 000
12,2006/07,06.10.2006,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-0,Marcin Józefowicz 58,I liga,2 000
13,2006/07,14.10.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-0,Mike Mozie 20,I liga,2 500
14,2006/07,21.10.2006,Łomża,Podbeskidzie Bielsko-Biała,ŁKS Łomża,1-1,Dariusz Kołodziej 75,I liga,600
15,2006/07,28.10.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,3-2,"Marcin Józefowicz 21, 42, Krzysztof Chrapek 32",I liga,2 000
16,2006/07,05.11.2006,Kraków,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,0-0,,I liga,500
17,2006/07,19.11.2006,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-1,,I liga,5 500
18,2006/07,10.03.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,0-0,,I liga,3 000
19,2006/07,17.03.2007,Janikowo,Podbeskidzie Bielsko-Biała,Unia Janikowo,0-0,,I liga,2 000
20,2006/07,24.03.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-2,,I liga,2 000
21,2006/07,01.04.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,0-2,,I liga,2 500
22,2006/07,07.04.2007,Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,0-0,,I liga,900
23,2006/07,14.04.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Warszawa,2-1,"Grzegorz Pater 41, Krzysztof Chrapek 70",I liga,2 000
24,2006/07,18.04.2007,Opole,Podbeskidzie Bielsko-Biała,Odra Opole,0-2,,I liga,3 000
25,2006/07,22.04.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Bytom,1-3,Krzysztof Chrapek 88,I liga,2 000
26,2006/07,30.04.2007,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-3,,I liga,3 000
27,2006/07,05.05.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-1,"Marcin Kocur 5, Krzysztof Chrapek 18",I liga,2 000
28,2006/07,09.05.2007,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,0-1,,I liga,1 500
29,2006/07,13.05.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-2,,I liga,2 000
30,2006/07,19.05.2007,Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-0,Piotr Koman 63,I liga,800
